Metric,Period,Description,Date,Case,Key Insight,Reporting Highlight,Key Charge,Jurisdiction,Tone/Narrative,Headline/Event,Category
,,"David Fahrenthold exposes ""phantom donations"" and the use of $20K in charity funds to buy a 6ft portrait of Trump. Won 2017 Pulitzer.",2016-09-01,,,,,,Forensic / Damning,Charity Investigation,Investigative
,,"Post publishes the hot-mic video (""Grab 'em by the pussy""). Detailed the GOP fracture and Trump's ""locker room talk"" defense.",2016-10-07,,,,,,Explosive / Crisis,Access Hollywood Tape,Politics
,,"Launch of the false claims project. Documented 30,573 false or misleading claims over the first term (21 per day).",2017-01-20,,,,,,Data-Driven / Adversarial,Fact Checker Launch,Media/Accountability
,,"Deeply sourced coverage of Comey firing and Mueller appointment. Mueller Report analysis focused on ""obstruction of justice.""",2017-05-17,,,,,,Investigative / Relentless,Russia Investigation,National Security
,,"Publication of the complaint regarding the Zelensky call (""quid pro quo""), triggering the first impeachment.",2019-09-26,,,,,,Constitutional / Historic,Ukraine Whistleblower,Politics
,,Forensic reconstruction of clearing peaceful protesters with chemical irritants for a Bible photo op.,2020-06-01,,,,,,Authoritarian / Visual Forensic,Lafayette Square,Civil Liberties
,,"Post publishes audio of Trump demanding Georgia officials ""find 11,780 votes."" Irrefutable evidence of election pressure.",2021-01-03,,,,,,Anti-Democratic / Revelatory,Raffensperger Call,Politics
,,"Comprehensive coverage of the ""attempted coup"" and the ""Big Lie"" mechanism. Connected violence to months of rhetoric.",2021-01-06,,,,,,Alarmist / Accountability,Capitol Insurrection,National Security
,,"Reporting on the FBI seizure of 300+ classified documents. Focused on ""obstruction"" regarding the return of files.",2022-08-08,,,,,,Serious / Legal Peril,Mar-a-Lago Search,Legal/Security
,,"Analysis of the historic win powered by demographic shifts (e.g., Hispanics in Miami-Dade). Framed as a failure of the ""unfit"" narrative.",2024-11-06,,,,,,Realignment / Analytical,Election Victory,Politics
,,"Analysis of the ""emergency"" declaration showing 80% of those arrested had no criminal record, contradicting ""violent gang"" rhetoric.",2025-08-15,,,,,,Data-Driven / Critical,DC Crime Emergency,Policy/Immigration
,,"Investigative report on covert strikes on Venezuelan drug boats. Defense Sec. Hegseth reportedly ordered ""no survivors"" amid fog of war.",2025-12-02,,,,,,Shocking / Fog of War,Hegseth Boat Strikes,Military/Foreign Policy
,,"CDC committee stacked with skeptics alters childhood vaccine schedule. Framed as a victory for RFK Jr.'s ""medical freedom"" movement.",2025-12-05,,,,,,Radical / Public Health Risk,Vaccine Schedule Shift,Health/Science
492 False Claims,First 100 Days,,,,Averaged 4.9 per day; signaled a new norm.,,,,,,
"~1,200/month peak",Midterm Election (2018),,,,Spikes correlated with campaign rallies.,,,,,,
Sustained Increase,Impeachment (2019),,,,Disinformation regarding Ukraine/Biden.,,,,,,
"30,573",Final Term Total,,,,Averaged 21 per day over the full term.,,,,,,
~500+ (Jan 2021),Final Days,,,,"Driven by the ""Big Lie"" of election fraud.",,,,,,
,,,,Hush Money,,The Post reported the historic conviction on 34 felony counts in May 2024,Falsifying Business Records,New York,,,
,,,,Classified Docs,,Reporting focused on the audio of Trump showing off secret plans,Espionage Act / Obstruction,Federal (FL),,,
,,,,Election Interference,,Identified six co-conspirators in the indictment,Conspiracy to Defraud U.S.,Federal (DC),,,
,,,,RICO,,"Analysis of the ""fake electors"" scheme",Racketeering,Georgia,,,
,,,,Civil Defamation,,The Post highlighted the $83.3 million verdict,Defamation (E. Jean Carroll),Federal (NY),,,
