Primary Narrative Frame,Year,Key Quote/Headline,Key Events/Topics,Intensity,Dominant Theme,Description,Date,Tone/Narrative,Headline/Event,Category
,,,,,,"Report on Founders Fund buying into the legal marijuana industry. Framed as a ""hard-nosed capitalist"" spotting value in taboo sectors.",2015-01-08,Neutral / Pragmatic,Marijuana Investment,Business/Libertarian
,,,,,,"Coverage of Thiel ""secretly bankrolling"" the Hulk Hogan suit. Framed as a moral act of justice against a ""singularly terrible bully"" (Gawker).",2016-05-26,Vindicated / Anti-Bully,Gawker Lawsuit,Media/Law
,,,,,,"Thiel's historic speech claiming ""America has not progressed."" TWT highlights his ""builder"" vs ""insider"" critique of the economy.",2016-07-21,Historic / Populist,RNC Speech,Politics
,,,,,,Thiel denies rumors he is buying The Washington Times. Validates the paper as a strategic asset while clarifying his media strategy.,2016-10-31,Defensive / Respectful,National Press Club,Media
,,,,,,"Thiel gives direct quotes criticizing the Army's ""DCGS"" system. TWT serves as the venue for his war against Pentagon bureaucracy.",2018-04-10,Sympathetic / Reformist,Palantir vs Army,Defense/Tech
,,,,,,"Thiel accuses Google of being ""seemingly treasonous"" for China work. TWT amplifies his call for CIA/FBI investigations.",2019-07-15,Aggressive / Patriot,"Google ""Treason""",National Security
,,,,,,"Reports on the ""Peter Thiel network"" anointing J.D. Vance and Blake Masters. Described as ""grooming"" a New Right cadre.",2021-03-15,Kingmaker / Strategic,Vance/Masters Backing,Politics
,,,,,,"Blake Masters wins primary. TWT frames it as a victory for the ""Trump-Thiel alliance"" over establishment GOP money.",2022-08-05,Triumphant / Anti-Establishment,Arizona Primary Win,Politics
,,,,,,"Op-eds defending Thiel against proposed ""unrealized gains"" taxes. Thiel used as the symbol of innovation threatened by tax overreach.",2024-04-15,Defensive / Warning,Unrealized Gains Defense,Economy/Policy
,,,,,,"Thiel listed as a ""spiritual godfather"" to the Department of Government Efficiency (Musk/Ramaswamy). The ""disruptor"" finally enters the bureaucracy.",2025-02-20,Full Circle / Efficiency,DOGE Support,Politics/Policy
"Risk-taker, Contrarian, Tax Savant",,,"Marijuana investment, Roth IRA, Unrealized Gains Tax",,,,,,,Business/Finance
"Reformer, Patriot, Anti-Bureaucracy",,,"Palantir vs. Army (DCGS), Google ""Treason"" accusation",,,,,,,National Security
"Outsider, Populist, Kingmaker",,,"RNC 2016 Speech, 2022 Senate Primaries (Vance/Masters)",,,,,,,Political Ideology
"Privacy Defender, Anti-Establishment",,,"Gawker Lawsuit, ""Buying TWT"" Rumors",,,,,,,Media/Culture
,2015.0,"""Fund buys into marijuana business""",,Low,Libertarian Investor,,,,,
,2016.0,"""I have no plans to buy the Washington Times""",,Very High,Trump Surrogate & Media Critic,,,,,
,2017.0,"""Peter Thiel became New Zealand citizen""",,Medium,Transition Team & Citizen,,,,,
,2018.0,Reporting on Palantir's court win,,Medium,Defense Contractor Victory,,,,,
,2019.0,"""Google is seemingly treasonous""",,High,National Security Hawk,,,,,
,2020.0,Support for Trump campaign endorsements,,Low,Behind the Scenes,,,,,
,2021.0,"""Peter Thiel, Mercers Back Potential J.D. Vance Run""",,Medium,Network Builder,,,,,
,2022.0,"""Blake Masters... who Peter Thiel endorsed""",,High,Senate Kingmaker,,,,,
,2023.0,"""AI Bubble is bursting""",,Low,Cultural Commentator,,,,,
,2024.0,"""Prepare for 2025 Tax Armageddon""",,Medium,Tax Symbol,,,,,
,2025.0,Support for DOGE (Musk/Ramaswamy),,High,Efficiency Architect,,,,,
