Year,Description,Date,Headline/Topic,The Revelation,Key Insight,Tone/Narrative,Headline/Event,Category,WaPo Context
,"Thiel frames Trump as a ""Builder"" needed to reconstruct a broken America, contrasting with Clinton's ""Manager"" archetype.",2016-07-21,,,,Analytical / Anomalous,RNC Speech,Politics,
,"Thiel predicts the Trump movement ""is not going away"" regardless of the election result, positioning himself as a prophet of structural change.",2016-10-31,,,,Prescient / Foreboding,National Press Club Warning,Politics,
,"Post reports on Thiel's ""tremendous clout"" during the transition, organizing the Tech Summit and bridging the gap between Trump and Silicon Valley.",2016-12-15,,,,Investigative / Powerful,The Special Relationship,Politics/Tech,
,"Revelation that ""America First"" Thiel bought citizenship in New Zealand as a ""doomsday hedge."" Framed as hypocritical globalism.",2017-01-25,,,,Critical / Fascinated,New Zealand Citizenship,Global/Lifestyle,
,"Coverage of the public offering framed as an ""Anti-Valley Manifesto."" Validates Thiel's focus on defense/intel over consumer tech.",2020-09-30,,,,Cultural / Declaration,Palantir IPO,Business/Tech,
,"Investigative reports on Palantir serving as the ""Immigration OS"" for deportations. Highlights tension between state efficiency and civil liberties.",2020-10-15,,,,Investigative / Controversial,ICE Contracts,Tech/Ethics,
,"Explosive report (with ProPublica) revealing a tax-free fortune amassed via loophole. Framed as a symbol of ""Financial Singularity"" and inequality.",2021-06-24,,,,Scandalous / Systemic,$5 Billion Roth IRA,Finance/Policy,
,"Thiel exits Facebook board to focus on ""political warfare"" (Midterms). Marks the end of his attempt to steer Big Tech from within.",2022-02-07,,,,Strategic / Pivot,Leaving Meta Board,Business/Politics,
,"Reports link Thiel to FBI informant Charles Johnson. Paints a ""gray zone"" picture of Thiel's operation overlapping with federal intelligence.",2023-10-15,,,,Murky / Suspicious,FBI Informant Saga,Legal/Intel,
,"Leaked audio of Thiel arguing that tech critics take the form of the ""Antichrist."" Reveals the theological/mystic dimension of his accelerationism.",2025-10-01,,,,Startling / Theological,Antichrist Lectures,Culture/Philosophy,
,"Palantir stock drops as Trump admin cuts defense spending. The ""Kingmaker"" is ironically hit by the fiscal austerity of the regime he helped install.",2025-02-01,,,,Ironic / Volatile,Defense Budget Cuts,Business/Politics,
,,July 2016,RNC Speech Coverage,,"Thiel frames Trump as a ""Builder"" to rebuild America",,,,
,,"Oct 31, 2016",National Press Club Speech,,"Thiel predicts the Trump movement ""is not going away""",,,,
,,"Dec 15, 2016","""Special Relationship""",,"Reports on Thiel's ""tremendous clout"" during transition",,,,
2016.0,,,,Trump Endorsement,,,,,"""To many, it was a stunning revelation... Thiel's role in right-wing politics has only grown."""
2017.0,,,,NZ Citizenship,,,,,"Revealed he bought citizenship in a ""doomsday"" haven"
2021.0,,,,$5 Billion Roth IRA,,,,,Revealed he has a massive tax-free fortune
2025.0,,,,The Antichrist,,,,,"Leaked lectures reveal he views tech critics as the ""Antichrist"""
