Master_Date,Master_Entity,Master_Text,Master_Source,Dataset_Type
2015,Cerner,"Cerner wins $4.3 billion DoD contract to overhaul electronic health ... | Jul 29, 2015 ... Epic, Allscripts and Cerner, all heavy-hitters in the health records industry, were the three finalists.",https://www.washingtonpost.com/national/health-science/cerner-wins-dod-contract-to-overhaul-electronic-health-records/2015/07/29/7fbfccfa-35f5-11e5-b673-1df005a0fb28_story.html,News Article (Full)
2015,Cerner,"Massive digital health system for veterans plagued by patient safety ... | Mar 17, 2022 ... About half of digital medical records programs at private hospitals fail at first, she said. DOD, which is ahead of VA in its own Cerner ...",https://www.washingtonpost.com/elections/2022/03/17/veterans-health-records-failure/,News Article (Full)
2015,Cerner,"Breathing New Life Into Apache Medical? - The Washington Post | Feb 14, 2001 ... Under the agreement, Cerner would acquire most of Apache's employees and products, Apache officials said. Cerner, which reported $405 ...",https://www.washingtonpost.com/archive/business/2001/02/15/breathing-new-life-into-apache-medical/96229ae0-64df-42da-85ae-d38ddbae05fd/,News Article (Full)
2015,Cerner,"Multi-billion-dollar records system for veterans halted due to serious ... | Jul 14, 2021 ... ... Cerner, the health technology giant building the system; and a leadership shake-up, the details of which he did not publicly release. The ...",https://www.washingtonpost.com/politics/va-veterans-records-system/2021/07/14/fd508732-e4e9-11eb-8aa5-5662858b696e_story.html,News Article (Full)
2015,Cerner,"Computerizing Medical Records - The Washington Post | Dec 16, 2006 ... Added Rick Heise, an executive with Kansas City-based software provider Cerner Corp.: ""It's created a huge amount of excitement, so there's an ...",https://www.washingtonpost.com/archive/politics/2006/12/17/computerizing-medical-records-span-classbankheadgovernment-paves-way-for-technology-to-benefit-more-peoplespan/64569ddf-4fbb-4365-ae3b-a77c9b3ff3a0/,News Article (Full)
2015,Cerner,"A devoted pediatric surgeon makes a case for care designed for ... | Jun 16, 2017 ... ... Cerner, a medical software company. (Jeffrey MacMillan). By Nancy Szokan. Kurt Newman was a third-year medical student when a lump in his ...",https://www.washingtonpost.com/national/health-science/a-devoted-pediatric-surgeon-makes-a-case-for-care-designed-for-children/2017/06/15/b4c0f12e-5059-11e7-91eb-9611861a988f_story.html,News Article (Full)
2015,Cerner,"Tech firms vie for $11 billion military healthcare contract as deadline ... | Oct 19, 2014 ... As the Oct. 31 deadline approaches, teams bidding for the contract include Epic, Cerner and AllScripts.",https://www.washingtonpost.com/business/on-it/tech-firms-vie-for-11-billion-military-healthcare-contract-as-deadline-looms/2014/10/19/ac3cdc7e-53d2-11e4-ba4b-f6333e2c0453_story.html,News Article (Full)
2015,Cerner,"Meet InReturn Strategies, a start-up tackling the disability ... | Jan 5, 2021 ... Now, Geary works at Cerner, a global health-care technology company, where his decades of experience navigating the medical system inform ...",https://www.washingtonpost.com/business/2021/01/05/inreturn-strategies-inclusion-disability/,News Article (Full)
2015,Cerner,"Pentagon gets ready to award big contract for electronic medical ... | Jul 29, 2015 ... ... Cerner and Allscripts Healthcare Solutions. “We are not just buying an off-the-shelf system; we're really looking to modernize how the ...",https://www.washingtonpost.com/national/health-science/pentagon-gets-ready-to-award-big-contract-for-electronic-medical-records/2015/07/27/a3121672-1e85-11e5-aeb9-a411a84c9d55_story.html,News Article (Full)
2015,David Ellison,"Paramount begins laying off 2,000 people months after Skydance ... | Oct 29, 2025 ... David Ellison, whose Skydance bought the media conglomerate this summer for $8 billion, announces move “addressing redundancies.”",https://www.washingtonpost.com/business/2025/10/29/paramount-skydance-layoffs/,News Article (Full)
2015,David Ellison,"CNN's future uncertain as owner Warner Bros. Discovery explores ... | Oct 21, 2025 ... Paramount Skydance CEO David Ellison has reportedly expressed interest in buying the company, in a sale that could place CNN and CBS under ...",https://www.washingtonpost.com/business/2025/10/21/warner-bros-discovery-sale-cnn/,News Article (Full)
2015,David Ellison,"Senators press incoming CBS owner on Trump's claim of settlement ... | Jul 21, 2025 ... Liberal lawmakers asked David Ellison, chief executive of Skydance Media, which is set to merge with CBS owner Paramount, about alleged ...",https://www.washingtonpost.com/business/2025/07/21/paramount-skydance-trump-cbs-settlement/,News Article (Full)
2015,David Ellison,"FCC approves $8 billion Paramount-Skydance merger after lengthy ... | Jul 24, 2025 ... David Ellison, chief executive of Skydance Media, in May. (Charly Triballeau/AFP/Getty Images). By Jeremy Barr. The Federal Communications ...",https://www.washingtonpost.com/business/2025/07/24/fcc-approves-8-billion-paramount-skydance-merger-after-lengthy-review/,News Article (Full)
2015,David Ellison,"Bari Weiss named editor in chief of CBS News - The Washington Post | Oct 6, 2025 ... The founder of the Free Press, a website critical of mainstream media, will report directly to Paramount CEO David Ellison.",https://www.washingtonpost.com/business/2025/10/06/bari-weiss-cbs-paramount/,News Article (Full)
2015,David Ellison,"ROYAL CRESCENT MOB - The Washington Post | Apr 25, 1988 ... every other mostly white band playing black music hides behind. Lead singer David Ellison grew up next to the guitarist for the Ohio. Players ...",https://www.washingtonpost.com/archive/lifestyle/1988/04/25/royal-crescent-mob/35e87d44-cbfb-4198-bb9d-6f99efc8e198/,News Article (Full)
2015,David Ellison,"Paramount signs off on merger with David Ellison's Skydance | Jul 8, 2024 ... ... David Ellison, who will become chairman and CEO of the combined company. He said the new owners “are committed to energizing the business ...",https://www.washingtonpost.com/business/2024/07/08/paramount-skydance-merger-ellison-redstone/,News Article (Full)
2015,David Ellison,"Jimmy Kimmel's suspension confirms what many suspected after ... | Sep 18, 2025 ... Here's one possibility: Paramount-Skydance, which is financially backed by David Ellison's father, Trump pal and Oracle billionaire Larry ...",https://www.washingtonpost.com/entertainment/tv/2025/09/18/jimmy-kimmel-charlie-kirk-abc-off-the-air/,News Article (Full)
2015,David Ellison,"John Dickerson announces he's leaving CBS News - The ... | Oct 27, 2025 ... Dickerson's departure comes amid a regime change at the Tiffany network. Skydance, the production firm run by David Ellison, bought CBS parent ...",https://www.washingtonpost.com/business/2025/10/27/dickerson-cbs-news-paramount/,News Article (Full)
2015,Larry Ellison,"Oracle to partner with Trump administration to collect data on ... | Mar 24, 2020 ... The company's co-founder, Larry Ellison, has fueled the president's interest in the drugs.",https://www.washingtonpost.com/politics/oracle-to-partner-with-trump-administration-to-collect-data-on-use-of-antimalarial-drugs-to-treat-covid-19/2020/03/24/ecbb8b76-6de2-11ea-b148-e4ce3fbd85b5_story.html,News Article (Full)
2015,Larry Ellison,"The Outsider, His Business and His Billions - The Washington Post | Oct 30, 2000 ... Larry Ellison, the world's second-richest man, was entertaining friends aboard his 243-foot yacht off Capri when another yacht caught his ...",https://www.washingtonpost.com/archive/politics/2000/10/30/the-outsider-his-business-and-his-billions/c1ffea25-3eb5-4918-8fa6-8837b79336a5/,News Article (Full)
2015,Larry Ellison,"Oracle's Larry Ellison joined Nov. 2020 call about contesting ... | May 20, 2022 ... Larry Ellison, the billionaire co-founder and chairman of the software company Oracle and the biggest backer of Elon Musk's attempted Twitter ...",https://www.washingtonpost.com/politics/2022/05/20/larry-ellison-oracle-trump-election-challenges/,News Article (Full)
2015,Larry Ellison,"Billionaire Larry Ellison and his son David built a new media empire ... | Oct 4, 2025 ... Movie producer David Ellison, son of software billionaire Larry Ellison, dropped by to introduce himself as the chief executive of Paramount ...",https://www.washingtonpost.com/technology/2025/10/04/larry-david-ellison-media-trump/,News Article (Full)
2015,Larry Ellison,"Larry Ellison says Apple can't succeed without Steve Jobs. He's ... | Aug 14, 2013 ... In an interview with Charlie Rose on the future of Apple, Oracle CEO Larry Ellison explains why he thinks the company Steve Jobs built has ...",https://www.washingtonpost.com/news/the-switch/wp/2013/08/14/larry-ellison-says-apple-cant-succeed-without-steve-jobs-hes-wrong/,News Article (Full)
2015,Larry Ellison,"Winds of change: Larry Ellison is revamping sailing's America's Cup ... | Jul 12, 2013 ... The doors of Larry Ellison's waterfront hangar on San Francisco Bay slide open, and more than a dozen men in hard hats roll out the ...",https://www.washingtonpost.com/business/winds-of-change-larry-ellison-is-revamping-sailings-americas-cup/2013/07/11/d08e2a52-e519-11e2-a11e-c2ea876a8f30_story.html,News Article (Full)
2015,Larry Ellison,"Oracle's Larry Ellison steps down as chief executive - The ... | Sep 18, 2014 ... Oracle announced Thursday that its flamboyant, hard-charging chief executive Larry Ellison will step down after nearly 40 years running the ...",https://www.washingtonpost.com/news/the-switch/wp/2014/09/18/oracles-larry-ellison-steps-down/,News Article (Full)
2015,Larry Ellison,"Tech titans' latest project: Defy death | The Washington Post | Apr 4, 2015 ... Oracle founder Larry Ellison ... Premature death makes me angrier still.” Larry Ellison, “The Difference Between God and Larry Ellison” by Mike ...",http://www.washingtonpost.com/sf/national/2015/04/04/tech-titans-latest-project-defy-death/,News Article (Full)
2015,Larry Ellison,"Tesla names two new directors, including billionaire Larry Ellison, to ... | Dec 28, 2018 ... ... Larry Ellison and Kathleen Wilson-Thompson, a Walgreens Boots Alliance executive, to its board. The move is part of a settlement the ...",https://www.washingtonpost.com/business/2018/12/28/tesla-names-two-new-directors-including-billionaire-larry-ellison-its-board/,News Article (Full)
2015,Larry Ellison,"Move over, Elon Musk. Oracle's Larry Ellison is the world's richest ... | Sep 11, 2025 ... ... Larry Ellison, propelling him past Tesla CEO Elon Musk as the world's richest person. (Justin Sullivan/Getty Images). Larry Ellison, Oracle ...",https://www.washingtonpost.com/politics/2025/09/11/ellison-musk-richest-man-world/,News Article (Full)
2015,Megan Ellison,"Opinion | How Reese Witherspoon and Megan Ellison are changing ... | Nov 20, 2014 ... Her potential awards-season dominance recalls that of Megan Ellison (daughter of billionaire Larry Ellison), whose Annapurna Pictures production ...",https://www.washingtonpost.com/news/act-four/wp/2014/11/20/how-reese-witherspoon-and-megan-ellison-are-changing-the-movies/,News Article (Full)
2015,Megan Ellison,"Booksmart, starring Beanie Feldstein and Kaitlyn Dever, may have ... | May 28, 2019 ... Annapurna, founded and run by the auteur-minded financier Megan Ellison (yes, of that Silicon Valley Ellison family), and UA took a specific ...",https://www.washingtonpost.com/business/2019/05/28/why-booksmarts-box-office-isnt-disaster-many-are-pronouncing/,News Article (Full)
2015,Megan Ellison,"The new Oscars: In a climate of change, is Disney the real disrupter ... | Feb 20, 2019 ... New players, from Netflix to Megan Ellison's Annapurna Pictures, have been mounting a case that they're the new establishment. Money has ...",https://www.washingtonpost.com/business/2019/02/20/new-oscars-climate-change-is-disney-real-disrupter/,News Article (Full)
2015,Megan Ellison,"A Sony exec cracks jokes about Obama's race, and eight more ... | Dec 11, 2014 ... Joking about President Obama's race. · The mishandling of the Steve Jobs film. · Trashing Angelina Jolie. · And Megan Ellison. · And Adam Sandler.",https://www.washingtonpost.com/news/the-switch/wp/2014/12/11/a-sony-exec-cracks-jokes-about-obamas-race-and-eight-more-bruising-revelations-from-the-sony-leak/,News Article (Full)
2015,Megan Ellison,"'Foxcatcher' movie review: Ensemble cast shines in mesmerizing ... | Nov 20, 2014 ... ... Megan Ellison movie. Ellison, who produced the film, is herself an heir to a great fortune: Her father is Oracle Corp. chairman Larry ...",https://www.washingtonpost.com/goingoutguide/foxcatcher-movie-review-ensemble-cast-shines-in-mesmerizing-true-story/2014/11/19/fdd251ce-6f41-11e4-ad12-3734c461eab6_story.html,News Article (Full)
2015,Megan Ellison,"Salma Hayek emerges as outspoken gender equality advocate at ... | May 19, 2015 ... ... Megan Ellison and Jane Fonda.) Sitting alongside actresses Parker Posey and Aishwarya Rai Bachchan, as well as producers Christine Vachon ...",https://www.washingtonpost.com/news/arts-and-entertainment/wp/2015/05/19/selma-hayek-emerges-as-outspoken-gender-equality-advocate-at-cannes/,News Article (Full)
2015,Megan Ellison,"Paramount-Skydance merger: Here's what it all means for you - The ... | Jul 8, 2024 ... ” And David's sister, Megan Ellison, is founder of Annapurna productions, the company behind “Her,” “American Hustle” and “Spring Breakers.",https://www.washingtonpost.com/style/2024/07/08/paramount-skydance-merger-deal-explained/,News Article (Full)
2015,Megan Ellison,"Hollywood's addiction to franchises is reaching new extremes - The ... | Jan 16, 2015 ... Other wealthy patrons of movies have filled in where big studios no longer participate. Megan Ellison, daughter of Silicon Valley billionaire ...",https://www.washingtonpost.com/business/economy/hollywoods-addiction-to-franchises-is-reaching-new-extremes/2015/01/16/4b8bc934-96a9-11e4-aabd-d0b93ff613d5_story.html,News Article (Full)
2015,Megan Ellison,"Exclusive: Screenwriter Mark Boal talks about art imitating death in ... | May 3, 2011 ... Last January, Variety reported that Boal and Bigelow's bin Laden film would be financed by producer Megan Ellison through her company, Annapurna ...",https://www.washingtonpost.com/lifestyle/style/exclusive-screenwriter-mark-boal-talks-about-art-imitating-death-in-his-upcoming-osama-bin-laden-movie/2011/05/03/AFVdzeiF_story.html,News Article (Full)
2015,Megan Ellison,"Oscar campaigns may be over-the-top, but they keep otherwise ... | Feb 23, 2014 ... ... Megan Ellison, whose company Annapurna Pictures financed Oscar contenders such as ""The Master,"" ""Zero Dark Thirty"" and this year's ""American ...",https://www.washingtonpost.com/lifestyle/style/oscar-campaigns-may-be-over-the-top-but-they-keep-otherwise-endangered-movies-alive/2014/02/23/fef5dde4-9a46-11e3-80ac-63a8ba7f7942_story.html,News Article (Full)
2015,NetSuite,"Transcript: The Futurist: The AI (R)evolution - The Washington Post | Feb 27, 2025 ... We power all the features in Oracle Fusion NetSuite, over a hundred different use cases. Each one was optimized. We have created a ...",https://www.washingtonpost.com/washington-post-live/2025/02/27/transcript-futurist-ai-revolution/,News Article (Full)
2015,NetSuite,"Loudoun County software firm Unanet cuts private equity deal - The ... | Jun 11, 2019 ... ... NetSuite, Microsoft and Deltek, to name a few. A lot of change could be on the horizon for Unanet. It is about to get a massive infusion of ...",https://www.washingtonpost.com/business/2019/06/11/loudoun-county-software-firm-unanet-cuts-private-equity-deal/,News Article (Full)
2015,NetSuite,"She's 72, but technology entrepreneur Fran Craig just isn't the ... | Aug 2, 2015 ... ... NetSuite. Where competitors raised tens of millions of dollars from venture capitalists, Craig owns most of her company. She built it the ...",https://www.washingtonpost.com/business/economy/entrepreneur-fran-craig-just-isnt-the-retiring-type/2015/07/31/684ad986-3553-11e5-adf6-7227f3b7b338_story.html,News Article (Full)
2015,NetSuite,"Oracle Returns to Sales Growth on Greater Cloud Demand - The ... | Sep 11, 2020 ... Revenue from the company's accounting and financial-planning application for large businesses climbed 33% last quarter, while sales of NetSuite ...",https://www.washingtonpost.com/business/on-small-business/oracle-returns-to-sales-growth-on-greater-cloud-demand/2020/09/10/bbab3bb6-f3a8-11ea-8025-5d3489768ac8_story.html,News Article (Full)
2015,NetSuite,"Jeff Bezos named Fortune's businessperson of the year - The ... | Nov 16, 2012 ... ... NetSuite's Zach Nelson, Salesforce's Marc Benioff, and Jack Dorsey of Twitter and Square. Warren Buffett won the readers' poll for best ...",https://www.washingtonpost.com/business/technology/jeff-bezos-named-fortunes-businessperson-of-the-year/2012/11/16/00d717e8-3000-11e2-a30e-5ca76eeec857_story.html,News Article (Full)
2015,Oracle,"VA expanding health records program as staff warn of critical errors ... | 4 days ago ... Technology giant Oracle took over the $10 billion modernization program in 2022 after it purchased Cerner, a niche health IT company that began ...",https://www.washingtonpost.com/investigations/2025/12/03/veterans-administration-va-hospitals-health/,News Article (Full)
2015,Oracle,"Why the co-CEO setup at Oracle is different - The Washington Post | Sep 22, 2014 ... Shareholders might balk at the cost — a potential issue at Oracle, where both Mark Hurd and Safra Catz, the company's newly named CEO duo, were ...",https://www.washingtonpost.com/news/on-leadership/wp/2014/09/22/why-the-co-ceo-setup-at-oracle-is-different/,News Article (Full)
2015,Oracle,"Pentagon issues forceful rebuke of Oracle as debate over a massive ... | Jul 30, 2019 ... The military's remarks and a ""Conspiracy"" graphic created by Oracle have become flash points in the dispute over a $10 billion government ...",https://www.washingtonpost.com/business/2019/07/30/pentagon-issues-forceful-rebuke-oracle-debate-over-massive-federal-contract-turns-caustic/,News Article (Full)
2015,Oracle,"Supreme Court opinion for Google v. Oracle - The Washington Post | Apr 5, 2021 ... ... giant did not violate copyright law when it developed its Android mobile operating system using code from Oracle.",https://www.washingtonpost.com/context/supreme-court-opinion-for-google-v-oracle/31f817ae-4990-40ec-bb52-e13e0f3d7969/,News Article (Full)
